target,text
0,is NEVER drinking again! Im tired! And working  Someone feel sorry for me :p!
0,Farkle on facebook is too dang addicting
0,the drilling is driving me nuts. i hate my neighbour.
1,Keep listening - thanks  www.reverbnation.com/keithhide
0,And I was rolling along so good w/TD.  I don't think I  have ever been in time out
0,"hope that the necklace will wait for her coz she is working very hard to earn it   ,sad that summerthelittlehelper has no business"
1,@thakiidad lmao ur silly..im glad to hear your doin well  ..keep up the good wrk bro !
1,@don_iain nice tie - very smart
0,@camillaoc eck paperwork
0,"nooooo!! I was doing so good, im not allowed to cry.. ughhh, staying up late makes me think about stuff.."
0,He was supposed to come home 2day
1,"if someone doesnt tweet me, im going  to stab myself"
1,@sneering ha okay. I thought so. I get your updates on my phone.
1,Nadal VS Federer on right now! VAMOS RAFA!!!!!!!!!!
0,"Pretty sure my laptop just died 100%. HP DV2000, wireless problems constantly, tons of heat, won't start at all now. Fried circuit?"
1,"@Jonasbrothers Joe, I was wondering, when will you reply to my tweets to you? Lol.. - I &lt;3 u.."
1,@tinchystryder July 23rd thats manchesterr? Yehhh boyyy  x
1,is out... looking hot... wearing her party shoes... call to join
1,4 more days until the Palm Pre hit the streets...
0,Should you feel ok being broke if all of your bills are paid? Mom says I should but I don't.
0,@rowsell 3news.co.nz really need to up their game (and bandwidth) when it comes to streaming video   We'll have to wait for the archives!
1,"@BradleyLaw i would buy one for sure, i have some energy related issues so it would be good for getting aroun"
1,What a wonderful n relaxing sunday  very content  now off to a funeral...
0,misses her sister to the millionth
1,I'm looking forward to Bali then moving back to Noosa - lifes good
1,iamlearing how to use twitter
0,"@MrProlific lmao!!! srry yo mekhi rockin my wrld ths morning , I just want to lay dwn"
1,when I woke Lo this am she said &quot;already? you've got to be kidding me&quot;
1,@ktumulty  That's too bad! Bet they have some at FOX!
1,@miken12 You mean HBO's ladies of the night??
0,human saxaphone
1,"@MrTHill Optus. Iphone included, $2500MB per month included..has been great so far. Apart from Optus being crap, generally speaking"
0,@mel1ssar0se iii know!!!!
0,boreddddd as shit! be in tha heights like @ 5... @ishinee please make my day
1,is positive that demi &amp; trace are dating... YAY!
0,WHAT IS WRONG TODAAAAAAAAAAAY?!
1,fred durst lebt! und seine rote kappe auch  my generation!
0,Why is every one watching #Conan and not me? Darn you bed time. I'm such a kid
1,so will set the US #bing hp as my fav page and will forget im french
0,trying to figure out my new phone....not an iPhone Matt...sorry
1,"@C_DIG #yycctv2330 Airport, MRC, Spruce Meadows (so close already), Edmonton."
1,"@ashomem thank you, make it long."
0,tornado warning!
1,@sweetscuderia I understand how you feel...good luck
1,@Nana_Mex What's re-tagging?
1,@MYFUTURELIES thats really awesome
1,"@letmesign haha, I already saw that when it premiered  Didn't get hooked, but still a decent show."
0,ma phone is no sendin ta twitter?!  it makes for some very sad
1,"@christinebyer Thanks   If you're ever really looking for a pup, I know some great groups in town that have LOTS to choose from.."
0,@tiahakim sangat besttttt! better than i expected.  interview was fine. hopefully boleh dapattt! kte bosan dekat rumah...
1,"Going lay down, I'll get up officially @ 1! Yes 1! lol Good(night) again!"
1,"Too warm to study, just gonna have a nice relaxing day"
1,"@Felycitas you should learn outside in the volksgarten, with beer, music and music"
1,watching the prince and me
0,"laying in bed, i dont feel fabulous."
1,@Dragonzair  - Nice new piccccy !
0,Just got outa wrk. I have a headache now
1,@iwearyourshirt Sorry I am missing the liveness. I must go shopping with my mommy. You guys have fun! Love today's pics.
0,i dont like people much right now. feeling sadddlike
1,"@bradiewebbstack Bradie. Please entertain me, I actually cried because I was so bored today"
1,loaded &amp; done drinking. feelin real good about it too
1,@poi2poi cygwin + PuTTY - lots_of_stuff_you_don't_need_with_Cygwin + a_few_extra_features = http://mintty.googlecode.com
0,Just cried watching oprah
1,http://ping.fm/p/Z022E - Here is heaven on earth and a new one it seems
0,@Bekkkiiieeee_xo i know it is lol but you know what my mom is like lol in devon it is supposed to get up to 25 degrees  jealous much
0,Marley and Me is soooooooo sad!!!
0,"thinks $43.50 is too much to see Kings of Leon live, but will pay the price anyway"
1,had a wonderful first day on the job.  I'm so excited to start working on news stories!  Eight per week!!! Ahhh!
0,"@keesitt yeah, i jelez cant come, got class, now finding dinner  *sob*"
1,@archangelmaggie at least you got to go and have an awesome time!  and also i heard you met @melisaxoarchie !
0,Aww. Otis just had a nightmare  Holding him close till he stops crying
1,"@delta_goodrem your forgiven! hope your enjoying the new house, and the move went smoothly!  xx"
1,#FF @TAH_MF @Jay_West_Go @NVMEMIZZROYALTY @i_am_ty @PdotWhy @PrinceSuave @RenewedCraig @mrs_nini @iamyelle and of course @FlyBoyPhantom
1,"@RowdyQueenie IM HERE.. sorry Im late.. Im freakin tired man.. lol.. stayed up til 2:30pm today, hahaha.. getting to old for this crap.."
0,Let us NOT tweet for ONE minute in memory of Air France
1,@iamsuriuz Lmffao. It really is. tho.
1,world! any way mate.. Nice talking to ya.. gotta go it's 12.08am here.. see ya soon  take care
1,"@burajiru Does Char Hung Sut (Local Favorite for Manapua, half moon, ip jai, ma tai sui, chow fun, taro cake and pork hash) count?"
0,Photo: I love calvin and hobbes  via BILL WATERSON. http://tumblr.com/xfj22da4b
1,"@HtDeE ohh yeah! yumm yummy! what's ur true name, kuya?"
0,Going to work again and as always it is going to be a nice day and I will be inside  But I graduate in 6 days!!!
0,going to work later  uhhhhhhhh
0,Actionscript 3 has spoilt Javascript for me.
1,This lil traffic jam fuckin up my flow...but this is atlanta
1,@ddlovato...you are so amazing! enjoy your much deserved vacation. your tour is gonna rock so much i cant wait! loads of love &lt;3
1,@woophollie idk. lmao. probs leave my house bout 3 and get there for 4. but maybe earlier if i win soundcheck
1,@dozi1 thanks! Lol
0,"crap... If i get a new job before manifest, how will i get the time off"
0,"trying not to panic about the fact I can't find my email confirmation for Thailand flights in August.  Trying, and failing"
0,@still_unwritten  I was really excited about that pilot.
0,"Shrimp on a stick, mini tacos, gorditas, funnel cakes and everything else I can't have at the Houston St. Fair"
1,"@Maykats While you're at work having lunch, I just got to work with my bagel breakfast. Wanna trade?"
1,just came back from una fiesta woot
0,missing  my ella enchanted
1,so excited for girl's night with Jordan and Holly tonight   #fb
0,@mikafonacier I'm seriously so devastated.  Hell yes. HAHAHA. :x
0,@OfficialBabyV : yes she got all lovey with him&amp;he returned the love&amp;1thing led2 another&amp;  also @BrittanyASnow wants2 know y ur mad at her
0,4got about Mom's Day while in Medina this weekend.  Probly won't see my mom for a month  What to get her?
0,AHHHH!!!! I need a link to the finale! A little help here.
0,hey hey anybody help me change the colour of my twitter I don't know howww...
0,Tricky Dick is a lot more dickish than tricky. Thou he puts on a good juggling act. Zombies still trying to get in.
1,"One month, baby."
1,Ahh so excited! The twins and molly come today! Finally
1,@riskybusiness umm already have mine thanks
1,@iamdiddy Dude I saw the Shot this morning-in Taiwan. Thanks for raising awareness.   Diddy live &gt; http://bit.ly/BeN2t
1,@justinthesouth Thanks! I hope you have some time to relax for yourself as well - before July that is!  LOL my friend!!
1,btw forgot to mention we bought a Wii and Wii Fit yesterday. V good deal in Gamestation. Can't wait to try out Wii Fit
0,Busy night. Left no energy to read.
1,@stevericken http://knowyourmeme.com/system/photo/image/387/jagerbomb.jpg how many?
0,Filipino food can be soooo boring to me
0,packing to go home for summer!
1,chill`N witH tHE BABEz
0,@Jack Patton   I'll kill them!!!  LOL
1,Turning in the paper and spending the day with my Mom!
1,"@isihac You might be right, judging by the number of people seeing parks and ice-cream"
1,is loving his new table from IKEA which he got in the as-is section for $80 when its originally $200!! Big thanks to @jenniferyee
0,@AmazingPhil Me too xD...its so bad it's good...but Ann and Grace have got to go
0,Not so much  http://twitpic.com/4jmii
0,Seriously! Sleeping pattern is messed up. Awake at 3:30am... gotta be up in 4 hours
0,I miss my friends!!!
1,@natertot hiii nathan  why so cursed?
1,@planetmcfly Follow @tomsivornovello please  Thanks x
1,@Emmax33 you can tell me all about it
1,"@MuchMusic I wanna win wristbands to see @jonasbrothers and more at the MMVAs June 21 @9pm ET! please pick me,i love your show-MMVA's '09"
0,@likegallows lmao i have less days than that left
0,i feel like absolute crap.
1,"@WillyLim I guess since we are all here, we are into social media  I am enthu about it because of my job, too!"
1,Lexington Bridge - Sign Your Name on Viva PL now.!!!!
0,@Its_roXXX
0,"@sdmellish I should have recorded them as I thought of them when writing the lyrics, I tried for a couple hrs with no luck"
1,@LivitLuvit Your boyfriend posts are my favorite  always crack me up! Even the short and not so sweet ones. Have a great wkend!
0,hates when ruth and eamonn present this morning
1,@DavidArchie My home  Too bad I'll be here
1,what a rainy evening. I guess it's time for guitar hero. weeeee!
1,@hypahdorkx3 yeah. xD were so close already! xD i can talk to u about anything!  i love u gurrl. x3
1,"@lynxdaemonskye Thanks! I had to at least try, right?"
1,@marcii_chan i will hug you day 28
1,summerrrrrrrrrr
0,"@mrjohnmcd It's insane, listing fees are higher too. Just got billed for Â£18 from them"
0,@eajosh depressing
0,"@flamehair Unfortunately, no. Things got worse.  Yeah, we're hoping that the closer look by the professionals will help. Thanks."
0,"*Sniff* I never got a chance to say goodbye to Adrian.  So long, good friend. 1992-2009"
1,Doing paperwork all day so the fed govt don't try to cheat me out my mula!!!!
0,@katrina12010 wish I could make ya feel better...
1,@paula_abdul_fan hahaha i'll just enjoy this days without school
0,"I need to stop sleeping on my arms, cause I get them numb and its annoying"
1,Early morning walkies really aren't my thing... at least it's vaguely warm
1,@zelciia i will  #sgtweetup
1,@snipeyhead Well then consider yourself moisturized in an entertaining way
0,Tea time over!sitting in the sun.too much cake...
0,"OMFG, super tired today till I overslept!"
0,@civicbabe627 *hugs* what's wrong sweetheart?
0,is pusing dan kaki gue keram gara&quot; abis berenang  http://plurk.com/p/yup2e
1,about to lock in on some sleep...GOODniteeeee
0,I can't decide where I'm going to put my star trek glasses from burger king  They're too special to use for drinking purposes.
1,@blondiepops oooh sounds yummy.  If you get a chance to take some pics  please add them to the website as we don't have many pies on there
0,needs a ride to Muse
1,@c_harris at the point you need more room it might be fun to stick the kids in their own small tent too or do a guys and gals thing.
0,"Scratch that, after 4 hours in the fridge the chicken is still a frozen brick, and i can't figure out the defrost on the microwave."
0,@JillianIRL Ohhh babe I was like that last week with the hot and cold. It's painful.
1,"@caseorganic I miss Bend! Before we were married, my husband lived there. GREAT place to be if you love the outdoors"
1,@BabyPatches I had a very good day - lots of stretching and sleeping in the sun
1,@dannymcfly can't wait to see you here in Chile
1,@burtonct Milwaukee   Have fun in the 'born
1,lol gordon ramsey is such an idiot.
0,@GiannaLuisi You fell asleep during button!
0,had a really long day. now having trouble sleeping
0,@cocoandbreezy it was coo till i broke my damn glasses  OOBER mad! i wanted to use them for my photoshoot sunday. pissed.
1,@mommytoaaj Thanks
1,something about tonight  starting the pharma crusade... XD
1,"@Mugby wow that's extreme, I'm not ready for children yet"
0,My Angel is so sick with a fever... My heart is breaking
0,"Little on edge, looking forward to a week of cleansing and working in the studio 9-5... now I nap. @Jevir so sorry about Venice  tomorrow"
1,"sitting in bed. this weekend was great actually. oh well, sore sore sore sore, thanks to em. well im sleepy"
0,"@jessMohan mine made me afraid of metal kichen tongs, they pinched my butt with them."
0,I'm torn. Modest Mouse? Yes! The Sound Academy?  Noooooo
1,@Kazzababe7  yeah wasn't convinced at first but he's ok. carl and ash definately outshine in my eyes
0,America lost  So I did a double shot of cherry vodka
1,heard from her long lost cousin.
0,"@catalinaax3 :L:L i have that song, but it sounds so crap wen i play it"
0,I'm back tweeters!  Go QLD and why can't I play with everyone else??   Have a drink for me as you watch the match tonight
0,just found out the foxtel people are takng away disney chanel and giving us nikelodeon... yuk!! no more hannah montana
0,@Aloemilk Apparently they were really cracking down at the time that I screwed up. *sigh*
0,Fuck. Another funeral.
0,@dingyu @ngoskillz I have no idea whether or not to drink anymore...
0,@WendyMarie3 I hope you get to feeling better
1,"The three old (or shld I say original?) slugs at your service today. Sophia &amp; Joseph at the shop, Sharon behind the computer screen"
1,"@Njordy ??????????? ??? ???????? ? fb2 ??? txt. ????, ??? ?? ??? ????????? ??????????, ? ????? ?????? ?? ??????????"
1,"@NicLizD  well, in a pinch, maybe."
1,"feeling a little better, so me going to sleep. Im supposed to wake up early. Let's see what happens"
0,@drowsey000 i can't believe it's still shitting on your balcony  give it a poisonous sausage
1,@lionessblack TOY STORY!
0,is sad that she is a senior
1,@writingclasses #writechat so carve out a little &quot;you&quot; time once a week or every few days. It's just a matter of desire and scheduling.
0,@Morrica Norway won it
1,"i need to stop eating. btw @omgitsjosie, thanks again yeah"
1,3:16 and I'm taking my Twilight Saga-loving ass to bed. Night Twitter loves.  &lt;3
0,@Recruitingfreak and I can't even report the Gmail bug because I can't access Google's mail subdomain to do so
0,I think I broke my Chrome.
0,going to sleep cause my sinuses are acting up again!
0,@msdrpepper I wish I could follow her but our twitter is broke  I'll just have to subscribe to her youtube vids. Awesome stuf tho!
1,the beginning of my LONG day begins now. 8:30am-5pm work. looking fwd to going to gigi's 4th birthday party afterwards yay!
1,"is headed to church, lunch, the pool, DBS meeting, then out!!!"
